            Homebuilder Confidence,USHBSOMK Index
            ,
            New Home Sales,NHSLSO Index
            New Home Median Price,NHSLMDSO Index
            ,
            Existing Home Sales,ETSLSO Index
            Existing Home Median Price,ETSLMPSO Index
            ,
            Building Permits,NHSPASO Index
                Single-Family,NHSPASO1 Index
                Mutli-Family,
            ,
            Housing Starts,NHSPSSO Index
                Single-Family,NHSPSSO1 Index
                Mutli-Family,
            ,
            Housing Completions,PHUCNE Index
            ,
        Midwest,
            Homebuilder Confidence,USHBMWMK Index
            ,
            New Home Sales,NHSLMW Index
            New Home Median Price,NHSLMDMW Index
            ,
            Existing Home Sales,ETSLMW Index
            Existing Home Median Price,ETSLMPMW Index
            ,
            Building Permits,NHSPAMW Index
                Single-Family,NHSPAMW1 Index
                Mutli-Family,
            ,
            Housing Starts,NHSPSMW Index
                Single-Family,NHSPSMW1 Index
                Mutli-Family,
            ,
            Housing Completions,PHUCMW Index
                Single-Family,PHUCMW1 Index
                Mutli-Family,
