            MoM %,CAHOMOM Index
            YoY %,CAHOYOY% Index
        Residential Permits (Mn CAD),CAHOPRES Index
        Non-Residential Permits (Mn CAD),CAHONRES Index
    ,
    Housing Starts,
        Canada Total Housing New Starts SAAR (000's),CAHSTOTL Index
            MoM %,CAHSSMOM Index
        New Starts - Urban Area SAAR (000's),CAHSURBA Index
            Urban Area - Single Family SAAR (000's),CAHSURBS Index
            Urban Area - Multi Family SAAR (000's),CAHSURBM Index
        New Starts - Rural Area SAAR (000's),CAHSRUAL Index
    ,
    Canada New Housing Price Index,CAHUPI Index
        MoM %,CAHUMOM Index
        YoY %,CAHUYOY Index
    Canada Affordability Two Storey Houses,CANH2S Index
